文章标识符aid,标题title,链接url,时间time,公众号名称
"2653253052_1","天津超算中心天河设计与仿真云平台再获国家级认可","http://mp.weixin.qq.com/s?__biz=MzAxOTI3ODAxOA==&mid=2653253052&idx=1&sn=0cfa5693eafc010997dbef68c0ab70a8&chksm=8018bc11b76f3507d8d1fcba5f11876b3d35dea1c7029a97a8bf0cbc9c7ba9cfb68a70cbb26a#rd","2025-10-21","天津经开区-泰达"
"2653253039_1","“科技兴海 产业强海”天津经开区“萤火计划”创新成果对接会邀您参加","http://mp.weixin.qq.com/s?__biz=MzAxOTI3ODAxOA==&mid=2653253039&idx=1&sn=a556df52a11287cc2f341ff9f0112b80&chksm=8018bc02b76f3514102e188fe53ccbf4be91e846bff92d0649b2af0725593c471ea7dc3e4ee3#rd","2025-10-21","天津经开区-泰达"
"2653253003_1","泰达医院神经疾病综合诊疗中心正式开诊","http://mp.weixin.qq.com/s?__biz=MzAxOTI3ODAxOA==&mid=2653253003&idx=1&sn=49979dfc8f2b345d2ecf5b210f0661b4&chksm=8018bc26b76f35308f7d7a9b23b346fd1be5dad838873f153930d064cd17b416baf9752208c9#rd","2025-10-21","天津经开区-泰达"
"2653253003_2","安心穿，省心订，泰达城发集团🤝天纺集团携手打造一站式校服订购服务","http://mp.weixin.qq.com/s?__biz=MzAxOTI3ODAxOA==&mid=2653253003&idx=2&sn=18264b966f036217d939e3c28b2359c0&chksm=8018bc26b76f353056ff0541eec9b38e4ef5c44c061688b5be448592f3846a885faaf7db5d74#rd","2025-10-21","天津经开区-泰达"
"2653252949_1","“泰达速度”再创纪录！天津南港工业区渤化试剂产业项目正式获批投产","http://mp.weixin.qq.com/s?__biz=MzAxOTI3ODAxOA==&mid=2653252949&idx=1&sn=ea98e9dcecbdf7c2d0478be02a4c6066&chksm=8018bcf8b76f35eef0f5a4dc51a9ce028895cb0d1245c3c1fec6ae61855b52e2100e25ea73d1#rd","2025-10-21","天津经开区-泰达"
"2653252949_2","赴京研学！滨海—中关村科技园探索智能医疗产业协同新路径","http://mp.weixin.qq.com/s?__biz=MzAxOTI3ODAxOA==&mid=2653252949&idx=2&sn=05df913227d7c1a562106c235bbaad81&chksm=8018bcf8b76f35ee457668ede3e42656f2d98913f348e93fae843857ec5725347e20b495cdd2#rd","2025-10-21","天津经开区-泰达"
"2653252916_1","绝美“调色盘”上线！10月泰达，太出片了！","http://mp.weixin.qq.com/s?__biz=MzAxOTI3ODAxOA==&mid=2653252916&idx=1&sn=fc3fa9f9faa8409de7aa87332b52faa3&chksm=8018bc99b76f358f342bd7274b922746da7325fe0242973e9105f6e69ab914de149e450d702c#rd","2025-10-20","天津经开区-泰达"
"2653252881_1","“投资天津·选择经开”中国（天津）-芬兰绿色产业合作交流会在芬兰赫尔辛基举行","http://mp.weixin.qq.com/s?__biz=MzAxOTI3ODAxOA==&mid=2653252881&idx=1&sn=ede23544d81e84b40f8f046b623b7ac1&chksm=8018bcbcb76f35aa96dd63fb5cd78ee3ff2de97e51c851b95649a2f4499e5715b8a15f748c52#rd","2025-10-20","天津经开区-泰达"
"2653252881_2","精准送策！泰达主题法律讲座护航企业发展","http://mp.weixin.qq.com/s?__biz=MzAxOTI3ODAxOA==&mid=2653252881&idx=2&sn=66353013024d13b2cdf5391a4847df39&chksm=8018bcbcb76f35aa2bd95dcea9d270642fc98c1e89d0f556a8791a4503342b93188860643e34#rd","2025-10-20","天津经开区-泰达"
"2653252850_1","滨海新区领导调研检查天津滨海—中关村科技园教育基础设施建设及使用情况","http://mp.weixin.qq.com/s?__biz=MzAxOTI3ODAxOA==&mid=2653252850&idx=1&sn=01dcd6bd377bb66fe8a0eb2f3d371287&chksm=8018bd5fb76f3449876a2924dd3bff6ad1abda3239bd62d2a9a00ca5540451e48e8e48c5c4c4#rd","2025-10-20","天津经开区-泰达"
